How long did it take Leonardo da Vinci to paint the Mona Lisa's smile?,16 weeks,16 years,16 months,16 days,B,Art
 What artist is known for having painted the Moulin Rouge?,Georges Braque,Henri Rousseau,Camille Pissarro,Henri de Toulouse-Lautrec,D,Art
Romanesque art prevailed during what time period?,3000 to 1000 B.C.,3rd to 5th Century,11th to 13th Century,1st to 3rd Century,C,Art
What artist drew the comic strip Bloom County from 1980 to 1989?,Berkeley Breathed,Garry Trudeau,Richard Thompsom,Al Capp,A,Art
What painting attracted more visitors to the Louvre Museum AFTER it was stolen?,Poppy Flowers,Landscape with an Obelisk,Mona Lisa,Internet Explorer,C,Art
What artist's portrait of George Washington is the basis for the $1 bill?,Gilbert Stuart,George Caleb,Rembrant Peale,George P.A. Healy,A,Art
What is the term for a three-dimensional composition made from a variety of traditionally non-artistic materials and objects?,Caboodle,Assemblage,Aggregation,Agglomeration,B,Art
How many glod medals did Usain Bolt won?,10,8,6,7,B,Sport
"Which sport is known as ""the beautiful game""?",Basketball,Golf,Baseball,Soccer,D,Sport
Which sport uses a net a racket and a shuttlecock?,Tennis,Volleyball,Padel,Badminton,D,Sport
What is the diameter of a basketball hoop in inches?,20 in,15 in,18 in,21 in,C,Sport
How many holes are usually played in golf?,18,9,16,20,A,Sport
How long is a marathon?,22.6 miles,26.2 miles,23.4 miles,20 miles,B,Sport
How many players in a team there are in baseball?,8,10,9,12,C,Sport
How many sports were included in the 2008 Summer Olympics?,24,25,30,28,D,Sport
How much does an NFL football weigh?,1 pound,2 pounds,3 pounds,4 pounds,A,Sport
What team won 3 Super Bowls in the 1990s?,Green Bay Packers,Patriots,Dallas Cowboys,49ers,C,Sport
What is the most stolen base in Baseball?,First,Second,Third,Home,A,Sport
What is the record for red cards given in a single soccer game?,30,32,40,36,D,Sport
How old was the youngest professional soccer player?,19,12,17,15,B,Sport
How many minutes was the longest record point in the history of tenis?,30 minutes,29 minutes,35 minutes,40 minutes,B,Sport
What type of race is the Tour de France?,Marathon,Racing cars,Bycicle race,Tennis,C,Sport
"In which winter sport are the terms ""stable fish"" and ""mule kick"" used?",Karate,Soccer,Snowboarding,Skiing,C,Sport
At what year did Kelly Holmes won two gold medals?,2008,2004,2000,2016,B,Sport
How many players are in a rugby league team?,15,10,12,13,D,Sport
What was the only sport that was played on the moon?,Chess,Soccer,Swimming,Golf,D,Sport
Who won the last cricket world cup?,England,Spain,Italy,France,A,Sport
